14	4	2011-03-23.09:00:01	12	422	1
4	2	2011-03-23.09:00:05	11	420	1
4	2	2011-03-23.09:00:09	10	416	1
4	2	2011-03-23.09:00:13	9	416	1
4	2	2011-03-23.09:00:17	9	416	1
4	2	2011-03-23.09:00:21	9	416	1
24	4	2011-03-23.09:00:25	8	417	1
10	2	2011-03-23.09:00:29	7	416	1
4	2	2011-03-23.09:00:34	7	416	1
6	2	2011-03-23.09:00:38	6	416	1
4	2	2011-03-23.09:00:42	6	416	1
2	2	2011-03-23.09:00:46	6	414	1
2	2	2011-03-23.09:00:50	5	414	1
4	2	2011-03-23.09:00:54	5	414	1
4	2	2011-03-23.09:00:58	12	414	1
12	4	2011-03-23.09:01:02	12	422	1
4	2	2011-03-23.09:01:06	11	420	1
4	2	2011-03-23.09:01:10	10	416	1
4	2	2011-03-23.09:01:14	9	416	1
6	2	2011-03-23.09:01:18	9	416	1
2	2	2011-03-23.09:01:22	8	416	1
4	2	2011-03-23.09:01:26	8	416	1
4	2	2011-03-23.09:01:30	7	416	1
4	2	2011-03-23.09:01:34	7	416	1
2	2	2011-03-23.09:01:38	6	416	1
4	2	2011-03-23.09:01:43	14	416	1
4	2	2011-03-23.09:01:47	14	414	1
4	2	2011-03-23.09:01:51	12	414	1
4	2	2011-03-23.09:01:55	11	414	1
12	6	2011-03-23.09:01:59	11	414	1
34	14	2011-03-23.09:02:03	18	422	1
26	14	2011-03-23.09:02:07	18	416	1
4	2	2011-03-23.09:02:11	32	415	1
4	2	2011-03-23.09:02:15	30	415	1
2	2	2011-03-23.09:02:19	27	415	1
4	2	2011-03-23.09:02:23	25	415	1
4	2	2011-03-23.09:02:27	23	415	1
4	2	2011-03-23.09:02:31	23	415	1
2	2	2011-03-23.09:02:35	21	415	1
6	2	2011-03-23.09:02:39	19	415	1
4	2	2011-03-23.09:02:43	18	415	1
4	2	2011-03-23.09:02:48	16	413	1
4	2	2011-03-23.09:02:52	16	413	1
4	2	2011-03-23.09:02:56	15	413	1
4	2	2011-03-23.09:03:00	14	413	1
12	4	2011-03-23.09:03:04	13	419	1
4	2	2011-03-23.09:03:08	12	415	1
4	2	2011-03-23.09:03:12	12	415	1
4	2	2011-03-23.09:03:16	19	415	1
6	2	2011-03-23.09:03:20	17	415	1
4	2	2011-03-23.09:03:24	16	415	1
2	2	2011-03-23.09:03:28	15	415	1
2	2	2011-03-23.09:03:32	13	415	1
4	2	2011-03-23.09:03:36	13	415	1
2	2	2011-03-23.09:03:40	12	415	1
2	2	2011-03-23.09:03:44	11	415	1
4	2	2011-03-23.09:03:48	10	413	1
4	2	2011-03-23.09:03:53	10	413	1
4	2	2011-03-23.09:03:57	10	413	1
6	2	2011-03-23.09:04:01	9	413	1
12	4	2011-03-23.09:04:05	8	419	1
4	2	2011-03-23.09:04:09	7	415	1
4	2	2011-03-23.09:04:13	7	415	1
2	2	2011-03-23.09:04:17	7	415	1
4	2	2011-03-23.09:04:21	6	415	1
4	2	2011-03-23.09:04:25	6	415	1
4	2	2011-03-23.09:04:29	5	415	1
4	2	2011-03-23.09:04:33	5	415	1
6	2	2011-03-23.09:04:37	28	415	1
4	2	2011-03-23.09:04:41	28	415	1
4	2	2011-03-23.09:04:45	26	413	1
4	2	2011-03-23.09:04:49	24	413	1
4	2	2011-03-23.09:04:53	22	413	1
4	2	2011-03-23.09:04:57	20	413	1
12	2	2011-03-23.09:05:02	20	421	1
4	2	2011-03-23.09:05:06	18	419	1
4	2	2011-03-23.09:05:10	17	415	1
4	2	2011-03-23.09:05:14	32	416	1
6	2	2011-03-23.09:05:18	29	416	1
4	2	2011-03-23.09:05:22	29	415	1
4	2	2011-03-23.09:05:26	27	415	1
4	2	2011-03-23.09:05:30	25	416	1
4	2	2011-03-23.09:05:34	23	416	1
4	2	2011-03-23.09:05:38	21	416	1
2	2	2011-03-23.09:05:42	19	416	1
4	2	2011-03-23.09:05:46	19	414	1
4	2	2011-03-23.09:05:50	17	413	1
4	2	2011-03-23.09:05:54	16	413	1
6	2	2011-03-23.09:05:58	15	413	1
10	2	2011-03-23.09:06:02	14	421	1
4	2	2011-03-23.09:06:07	14	419	1
4	2	2011-03-23.09:06:11	12	415	1
4	2	2011-03-23.09:06:15	19	415	1
4	2	2011-03-23.09:06:19	18	415	1
4	2	2011-03-23.09:06:23	16	415	1
4	2	2011-03-23.09:06:27	16	415	1
4	2	2011-03-23.09:06:31	15	415	1
4	2	2011-03-23.09:06:35	14	415	1
6	2	2011-03-23.09:06:39	13	415	1
2	2	2011-03-23.09:06:43	12	415	1
4	2	2011-03-23.09:06:47	11	413	1
4	2	2011-03-23.09:06:51	11	413	1
4	2	2011-03-23.09:06:55	10	413	1
4	2	2011-03-23.09:06:59	9	413	1
12	4	2011-03-23.09:07:03	8	420	1
4	2	2011-03-23.09:07:07	8	415	1
4	2	2011-03-23.09:07:11	8	415	1
4	2	2011-03-23.09:07:16	15	415	1
6	2	2011-03-23.09:07:20	14	415	1
4	2	2011-03-23.09:07:24	13	415	1
4	2	2011-03-23.09:07:28	12	415	1
4	2	2011-03-23.09:07:32	12	415	1
4	2	2011-03-23.09:07:36	11	415	1
4	2	2011-03-23.09:07:40	10	415	1
4	2	2011-03-23.09:07:44	9	415	1
4	2	2011-03-23.09:07:48	8	413	1
4	2	2011-03-23.09:07:52	8	413	1
4	2	2011-03-23.09:07:56	8	413	1
6	2	2011-03-23.09:08:00	7	413	1
12	4	2011-03-23.09:08:04	6	419	1
4	2	2011-03-23.09:08:08	6	415	1
4	2	2011-03-23.09:08:12	13	415	1
4	2	2011-03-23.09:08:16	13	415	1
4	2	2011-03-23.09:08:21	12	415	1
4	2	2011-03-23.09:08:25	11	415	1
4	2	2011-03-23.09:08:29	10	415	1
4	2	2011-03-23.09:08:33	9	415	1
4	2	2011-03-23.09:08:37	9	415	1
6	2	2011-03-23.09:08:41	9	415	1
4	2	2011-03-23.09:08:45	8	414	1
4	2	2011-03-23.09:08:49	15	413	1
4	2	2011-03-23.09:08:53	14	413	1
4	2	2011-03-23.09:08:57	13	413	1
10	2	2011-03-23.09:09:01	13	421	1
4	2	2011-03-23.09:09:05	12	419	1
4	2	2011-03-23.09:09:09	11	415	1
4	2	2011-03-23.09:09:13	10	415	1
4	2	2011-03-23.09:09:17	9	415	1
6	2	2011-03-23.09:09:21	9	415	1
4	2	2011-03-23.09:09:26	8	415	1
2	2	2011-03-23.09:09:30	8	415	1
4	2	2011-03-23.09:09:34	31	415	1
4	2	2011-03-23.09:09:38	29	415	1
4	2	2011-03-23.09:09:42	29	415	1
4	2	2011-03-23.09:09:46	26	413	1
4	2	2011-03-23.09:09:50	24	413	1
4	2	2011-03-23.09:09:54	22	413	1
4	2	2011-03-23.09:09:58	20	413	1
16	4	2011-03-23.09:10:02	19	421	1
4	2	2011-03-23.09:10:06	19	415	1
4	2	2011-03-23.09:10:10	17	415	1
4	2	2011-03-23.09:10:14	16	415	1
4	2	2011-03-23.09:10:18	22	415	1
4	2	2011-03-23.09:10:22	21	415	1
2	2	2011-03-23.09:10:26	21	415	1
4	2	2011-03-23.09:10:30	19	415	1
4	2	2011-03-23.09:10:35	17	415	1
4	2	2011-03-23.09:10:39	16	415	1
6	2	2011-03-23.09:10:43	15	415	1
2	2	2011-03-23.09:10:47	15	413	1
2	2	2011-03-23.09:10:51	14	413	1
4	2	2011-03-23.09:10:55	12	413	1
4	2	2011-03-23.09:10:59	11	413	1
14	2	2011-03-23.09:11:03	18	419	1
4	2	2011-03-23.09:11:07	18	415	1
4	2	2011-03-23.09:11:11	25	415	1
50	6	2011-03-23.09:11:15	31	415	1
32	10	2011-03-23.09:11:20	52	415	1
4	2	2011-03-23.09:11:24	48	415	1
4	2	2011-03-23.09:11:28	44	415	1
4	2	2011-03-23.09:11:32	44	415	1
4	2	2011-03-23.09:11:36	41	415	1
4	2	2011-03-23.09:11:40	37	415	1
4	2	2011-03-23.09:11:44	34	415	1
2	2	2011-03-23.09:11:48	32	413	1
4	2	2011-03-23.09:11:52	29	413	1
4	2	2011-03-23.09:11:56	29	413	1
6	2	2011-03-23.09:12:00	27	413	1
12	4	2011-03-23.09:12:04	25	419	1
4	2	2011-03-23.09:12:08	23	415	1
4	2	2011-03-23.09:12:12	21	415	1
4	2	2011-03-23.09:12:16	21	415	1
4	2	2011-03-23.09:12:20	19	415	1
4	2	2011-03-23.09:12:25	18	415	1
4	2	2011-03-23.09:12:29	16	415	1
4	2	2011-03-23.09:12:33	15	415	1
4	2	2011-03-23.09:12:37	15	415	1
4	2	2011-03-23.09:12:41	14	415	1
4	2	2011-03-23.09:12:45	12	415	1
4	2	2011-03-23.09:12:49	11	413	1
4	2	2011-03-23.09:12:53	10	413	1
4	2	2011-03-23.09:12:57	10	413	1
4	2	2011-03-23.09:13:01	10	413	1
10	2	2011-03-23.09:13:05	9	419	1
4	2	2011-03-23.09:13:09	8	415	1
4	2	2011-03-23.09:13:13	7	415	1
4	2	2011-03-23.09:13:17	7	415	1
4	2	2011-03-23.09:13:21	7	415	1
4	2	2011-03-23.09:13:25	6	415	1
4	2	2011-03-23.09:13:30	6	415	1
4	2	2011-03-23.09:13:34	13	415	1
4	2	2011-03-23.09:13:38	12	415	1
4	2	2011-03-23.09:13:42	12	415	1
4	2	2011-03-23.09:13:46	11	413	1
4	2	2011-03-23.09:13:50	10	413	1
4	2	2011-03-23.09:13:54	9	413	1
4	2	2011-03-23.09:13:58	9	413	1
12	4	2011-03-23.09:14:02	8	421	1
4	2	2011-03-23.09:14:06	8	419	1
4	2	2011-03-23.09:14:10	7	415	1
4	2	2011-03-23.09:14:14	7	415	1
4	2	2011-03-23.09:14:18	6	415	1
2	2	2011-03-23.09:14:22	6	415	1
4	2	2011-03-23.09:14:26	6	415	1
4	2	2011-03-23.09:14:30	5	415	1
4	2	2011-03-23.09:14:35	5	415	1
4	2	2011-03-23.09:14:39	4	415	1
4	2	2011-03-23.09:14:43	4	415	1
